업소명,소재지,대분류,메뉴,별점,별점 수
이래도식당,대전광역시 동구 백룡로57번길 73 ,중식,"짜장면, 짬뽕, 우동, 라면, 냉면, 울면, 만두국, 콩국수, 볶음밥, 김치볶음밥, 짬뽕밥, 잡채밥, 오므라이스 오징어덮밥, 육개장, 뚝배기불고기, 갈비탕",4.17,52
이삭토스트,대전광역시 동구 동대전로131번길 8-5 ,샌드위치,"햄토스트, 불고기토스트, 치킨토스트, 피자토스트, 포테이토토스트, 감자튀김",4.56,272
고구려명장식당,대전광역시 동구 백룡로57번길 184 ,한식,"삼계탕, 닭볶음탕",4.42,225
미가 칼국수,대전광역시 동구 백룡로 3 ,칼국수,"칼국수, 수제비, 양푼이비빔밥",5,2
그린토마토,대전광역시 동구 계족로 184-91 ,양식,"크림 스파게티, 로제 스파게티, 토마토스파게티",4.1,12
페리카나치킨,대전광역시 동구 동대전로 228 ,치킨,"후라이드 치킨, 양념 치킨, 간장치킨",4.26,24
진수성찬식당,대전광역시 동구 백룡로 29 ,한식,"청국장, 된장찌개, 김치찌개, 닭볶음탕,",4.07,19
만남의광장식당,대전광역시 동구 동대전로131번길 8-7 ,한식,"육개장, 갈비탕, 순두부찌개, 김치찌개, 김치볶음밥, 제육덮밥, 불고기, 닭고기덮밥",4.69,18
지코바치킨,"대전광역시 동구 동대전로 182, 1층 ",치킨,"소금구이치킨, 양념구이치킨",4.73,69
솔뫼해장국,대전광역시 동구 동대전로 209 ,한식,"뼈다귀해장국, 감자탕, 순두부찌개, 뚝배기불고기, 콩나물해장국, 육개장, 김치찌개, 선지해장국, 우거지해장국",4.27,168
삼겹천지,대전광역시 동구 백룡로6번길 59 ,한식,"삼겹살, 목살, 대패삼겹살, 항정살",4.11,61
언덕빼기식당,대전광역시 동구 동대전로 224 ,한식,"김치찌개, 동태찌개, 된장찌개, 청국장, 갈치조림, 보리밥, 콩국수, 비빔국수",4,13
또또와식당,대전광역시 동구 동대전로131번길 8-39 ,한식,"뚝배기불고기, 순두부찌개, 제육덮밥, 비빔밥, 김치볶음밥, 라면",4.62,80
한솥도시락우송대점,대전광역시 동구 동대전로131번길 8-5 ,한식,"김치볶음밥, 비빔밥, 돈까스 도시락, 불고기 도시락, 치킨마요 컵밥, 참치마요 컵밥, 부대찌개",4.49,149
황태나라고기촌,대전광역시 동구 백룡로57번길 147 ,한식,"황태찜, 황태전골, 황태탕, 곱창전골, 삽겹살",4.3,119
기찬국밥,대전광역시 동구 백룡로 33 ,한식,"모듬국밥, 순대국밥, 해장국, 모듬순대",4.37,60
박가소머리곰탕,대전광역시 동구 백룡로37번길 5 ,한식,"곰탕, 도가니탕, 갈비탕, 뼈다귀해장국",4.66,130
유가식당,대전광역시 동구 동대전로 155 ,중식,"마라탕, 족발, 마파두부, 샤브샤브, 토마토국수, 계란볶음밥, 새우볶음밥, 마파두부덮밥, 짜장면",4.67,134
